0,Layer,θs,θr,Ks,So,σ,Ψm,θsMacMat,σMac,ΨmMac,Zstart[mm],Zend[mm]
,1,0.6545,0.0671,0.002908472,0,2.8484,500000,0.5372,1.5538,1000,0,25
,2,0.6545,0.0946,0.002351991,0,2.8185,360164.719,0.5478,1.3753,1000,25,50
,3,0.6545,0.0563,0.004787743,0,3.225,394832.828,0.573,0.8336,73.017,50,100
,4,0.6545,0.0155,0.006422731,0,3.6,500000,0.5872,0.3159,329.067,100,150
,5,0.6545,0.0154,0.006968449,0,3.6,500000,0.5872,0.5891,71.775,150,200
,6,0.5443,0.0343,0.000331157,0,3.6,45521.515,0.5411,0.6186,167.099,200,250
,7,0.5443,0.0347,0.000329456,0,3.6,45705.663,0.5403,0.8379,706.833,250,300
,8,0.5443,0.0365,0.000336481,0,3.6,43270.177,0.5438,0.9939,53.166,300,400
,9,0.564,0.0345,1.13E-04,0,3.1933,500000,0.4951,0.8705,652.401,400,500
,10,0.564,0.0361,1.23E-04,0,3.1795,497583.321,0.4944,1.0146,273.146,500,600
,11,0.564,0.0425,1.14E-04,0,3.0292,500000,0.487,1.3693,374.521,600,700
,12,0.568,0.0182,1.71E-04,0,3.6,441269.271,0.5166,1.1658,144.528,700,800
,13,0.568,0.0428,1.49E-04,0,3.3889,366089.52,0.5109,0.8096,233.024,800,900
,14,0.5244,0.0229,4.02E-04,0,3.6,21531.913,0.5244,0.3522,67.454,900,1000
