Month,Sign_Deficit_Obs,Sign_Max_Obs,Sign_Saturated_Obs,Sign_Senescence_Obs,Sign_Deficit_Sim,Sign_Max_Sim,Sign_Saturated_Sim,Sign_Senescence_Sim
1.0,0.0,0.03225806451612904,0.0,0.0,0.0,0.03225806451612904,0.0,0.0
2.0,0.0,0.03571428571428572,0.0,0.0,0.0,0.03571428571428572,0.0,0.0
3.0,0.0,0.03225806451612904,0.0,0.0,0.0,0.03225806451612904,0.0,0.0
4.0,0.0,0.00156706791621898,0.03176626541711436,0.0,0.0,0.00156706791621898,0.03176626541711436,0.0
5.0,0.0,0.012233811155377762,0.0433217444001778,0.0,0.0,0.055555555555555566,0.0,0.0
6.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
7.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
9.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
10.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
11.0,0.0,0.09090909090909093,0.0,0.0,0.0,0.09090909090909093,0.0,0.0
12.0,0.0,0.03225806451612904,0.0,0.0,0.0,0.03225806451612904,0.0,0.0
