Z,ΔZ,ΔZ_⬓,Znode,ΔZ_Aver,ΔZ_W,Z_CellUp
25.0,25.0,12.5,12.5,12.5,1.0,0.0
50.0,25.0,12.5,37.5,25.0,0.5,25.0
75.0,25.0,12.5,62.5,25.0,0.5,50.0
100.0,25.0,12.5,87.5,25.0,0.5,75.0
125.0,25.0,12.5,112.5,25.0,0.5,100.0
150.0,25.0,12.5,137.5,25.0,0.5,125.0
175.0,25.0,12.5,162.5,25.0,0.5,150.0
200.0,25.0,12.5,187.5,25.0,0.5,175.0
225.0,25.0,12.5,212.5,25.0,0.5,200.0
250.0,25.0,12.5,237.5,25.0,0.5,225.0
275.0,25.0,12.5,262.5,25.0,0.5,250.0
300.0,25.0,12.5,287.5,25.0,0.5,275.0
325.0,25.0,12.5,312.5,25.0,0.5,300.0
350.0,25.0,12.5,337.5,25.0,0.5,325.0
422.22222222222223,72.22222222222223,36.111111111111114,386.1111111111111,48.611111111111114,0.7428571428571429,350.0
494.44444444444446,72.22222222222223,36.111111111111114,458.33333333333337,72.22222222222223,0.5,422.22222222222223
566.6666666666667,72.22222222222229,36.11111111111114,530.5555555555557,72.22222222222226,0.5000000000000002,494.44444444444446
638.8888888888889,72.22222222222217,36.111111111111086,602.7777777777778,72.22222222222223,0.4999999999999996,566.6666666666667
711.1111111111111,72.22222222222217,36.111111111111086,675.0,72.22222222222217,0.5,638.8888888888889
783.3333333333333,72.22222222222217,36.111111111111086,747.2222222222222,72.22222222222217,0.5,711.1111111111111
855.5555555555554,72.22222222222217,36.111111111111086,819.4444444444443,72.22222222222217,0.5,783.3333333333333
927.7777777777776,72.22222222222217,36.111111111111086,891.6666666666665,72.22222222222217,0.5,855.5555555555554
999.9999999999998,72.22222222222217,36.111111111111086,963.8888888888887,72.22222222222217,0.5,927.7777777777776
1071.428571428571,71.42857142857133,35.714285714285666,1035.7142857142853,71.82539682539675,0.4972375690607733,999.9999999999998
1142.8571428571424,71.42857142857133,35.714285714285666,1107.1428571428569,71.42857142857133,0.5,1071.428571428571
1214.2857142857138,71.42857142857133,35.714285714285666,1178.571428571428,71.42857142857133,0.5,1142.8571428571424
1285.714285714285,71.42857142857133,35.714285714285666,1249.9999999999995,71.42857142857133,0.5,1214.2857142857138
1357.1428571428564,71.42857142857133,35.714285714285666,1321.4285714285706,71.42857142857133,0.5,1285.714285714285
1428.5714285714278,71.42857142857133,35.714285714285666,1392.8571428571422,71.42857142857133,0.5,1357.1428571428564
1499.999999999999,71.42857142857133,35.714285714285666,1464.2857142857133,71.42857142857133,0.5,1428.5714285714278
