Id,θs,θr,λbc,Ψbc,Ks,Φ,θs_Min,θr_Min,λbc_Min,Ψbc_Min,Ks_Min,Φ_Min,θs_Max,θr_Max,λbc_Max,Ψbc_Max,Ks_Max,Φ_Max,Nse,Nse_θΨ,Nse_KΨ,Rmse,Rmse_θΨ,Rmse_KΨ
1.0,0.53075,0.0335,0.4368,182.44354,1.0,0.55,0.3,0.0,0.001,0.1,6.0e-5,0.0,0.6,0.055,1.0,50000.0,0.08,0.0,1.0,1.0,1.0,NaN,0.0,NaN
2.0,0.5018,0.05333,0.51187,241.42578,1.0,0.52,0.3,0.0,0.001,0.1,6.0e-5,0.0,0.6,0.065,1.0,50000.0,0.08,0.0,1.0,1.0,1.0,NaN,0.0,NaN
3.0,0.73726,0.2,0.27452,97.43843,1.0,0.764,0.3,0.0,0.001,0.1,6.0e-5,0.0,0.6,0.2,1.0,50000.0,0.08,0.0,0.98906,0.97813,1.0,NaN,0.01549,NaN
4.0,0.71314,0.2,0.20343,63.38139,1.0,0.739,0.3,0.0,0.001,0.1,6.0e-5,0.0,0.6,0.2,1.0,50000.0,0.08,0.0,0.99243,0.98486,1.0,NaN,0.01068,NaN
5.0,0.45355,0.0,0.06613,203.52166,1.0,0.47,0.3,0.0,0.001,0.1,6.0e-5,0.0,0.6,0.2,1.0,50000.0,0.08,0.0,0.96828,0.93657,1.0,NaN,0.01173,NaN
6.0,0.4632,0.0,0.06675,282.24225,1.0,0.48,0.3,0.0,0.001,0.1,6.0e-5,0.0,0.6,0.2,1.0,50000.0,0.08,0.0,0.96345,0.9269,1.0,NaN,0.01333,NaN
7.0,0.47382,0.0,0.03414,61.87069,1.0,0.491,0.3,0.0,0.001,0.1,6.0e-5,0.0,0.6,0.2,1.0,50000.0,0.08,0.0,0.99397,0.98794,1.0,NaN,0.00305,NaN
8.0,0.621,0.0,0.04013,1173.76838,1.0,0.631,0.3,0.0,0.001,0.1,6.0e-5,0.0,0.6,0.2,1.0,50000.0,0.08,0.0,0.97967,0.95934,1.0,NaN,0.00726,NaN
9.0,0.44776,0.12309,0.20112,140.895,1.0,0.464,0.3,0.0,0.001,0.1,6.0e-5,0.0,0.6,0.198,1.0,50000.0,0.08,0.0,1.0,1.0,1.0,NaN,0.0,NaN
10.0,0.39372,0.19437,0.13073,304.22101,1.0,0.408,0.3,0.0,0.001,0.1,6.0e-5,0.0,0.6,0.2,1.0,50000.0,0.08,0.0,1.0,1.0,1.0,NaN,0.0,NaN
11.0,0.45355,0.0,0.07329,88.98847,1.0,0.47,0.3,0.0,0.001,0.1,6.0e-5,0.0,0.6,0.2,1.0,50000.0,0.08,0.0,0.97257,0.94515,1.0,NaN,0.01105,NaN
12.0,0.36188,0.0,0.07588,694.96979,1.0,0.375,0.3,0.0,0.001,0.1,6.0e-5,0.0,0.6,0.2,1.0,50000.0,0.08,0.0,0.98647,0.97293,1.0,NaN,0.00664,NaN
13.0,0.334,0.0,0.08292,1442.10875,1.0,0.331,0.3,0.0,0.001,0.1,6.0e-5,0.0,0.6,0.2,1.0,50000.0,0.08,0.0,0.97604,0.95207,1.0,NaN,0.00824,NaN
