Id,θs,θr,λch,Ψch,Ks,Φ,θs_Min,θr_Min,λch_Min,Ψch_Min,Ks_Min,Φ_Min,θs_Max,θr_Max,λch_Max,Ψch_Max,Ks_Max,Φ_Max,Nse,Nse_θΨ,Nse_KΨ,Rmse,Rmse_θΨ,Rmse_KΨ
1.0,0.53075,0.00517,0.32558,122.9915,0.02222,0.55,0.3,0.0,0.001,0.1,0.02222,0.0,0.6,0.055,1.0,5000.0,0.08,0.0,0.99551,0.99551,1.0,NaN,0.00592,NaN
2.0,0.5018,0.06241,0.30621,127.13211,0.02222,0.52,0.3,0.0,0.001,0.1,0.02222,0.0,0.6,0.065,1.0,5000.0,0.08,0.0,0.9859,0.9859,1.0,NaN,0.01009,NaN
3.0,0.73726,0.11778,0.13217,46.98444,0.05113,0.764,0.3,0.0,0.001,0.1,0.05113,0.0,0.6,0.2,1.0,5000.0,0.08,0.0,0.92513,0.92513,1.0,NaN,0.02865,NaN
4.0,0.71314,0.06935,0.10432,31.47121,0.03319,0.739,0.3,0.0,0.001,0.1,0.03319,0.0,0.6,0.2,1.0,5000.0,0.08,0.0,0.95562,0.95562,1.0,NaN,0.01829,NaN
5.0,0.45355,0.0393,0.06613,203.52166,0.00083,0.47,0.3,0.0,0.001,0.1,0.00083,0.0,0.6,0.2,1.0,5000.0,0.08,0.0,0.93657,0.93657,1.0,NaN,0.01173,NaN
6.0,0.4632,0.13805,0.06675,282.24226,0.00031,0.48,0.3,0.0,0.001,0.1,0.00031,0.0,0.6,0.2,1.0,5000.0,0.08,0.0,0.9269,0.9269,1.0,NaN,0.01333,NaN
7.0,0.47382,0.05283,0.03414,61.8707,0.00574,0.491,0.3,0.0,0.001,0.1,0.00574,0.0,0.6,0.2,1.0,5000.0,0.08,0.0,0.98794,0.98794,1.0,NaN,0.00305,NaN
8.0,0.621,0.0224,0.04013,1173.76835,0.00574,0.631,0.3,0.0,0.001,0.1,0.00574,0.0,0.6,0.2,1.0,5000.0,0.08,0.0,0.95934,0.95934,1.0,NaN,0.00726,NaN
9.0,0.44776,0.12043,0.1041,75.14347,0.0,0.464,0.3,0.0,0.001,0.1,0.0,0.0,0.6,0.198,1.0,5000.0,0.08,0.0,1.0,1.0,1.0,NaN,0.0,NaN
10.0,0.39372,0.05937,0.05078,225.02963,0.0,0.408,0.3,0.0,0.001,0.1,0.0,0.0,0.6,0.2,1.0,5000.0,0.08,0.0,1.0,1.0,1.0,NaN,0.0,NaN
11.0,0.45355,0.14741,0.07329,88.98847,0.00046,0.47,0.3,0.0,0.001,0.1,0.00046,0.0,0.6,0.2,1.0,5000.0,0.08,0.0,0.94515,0.94515,1.0,NaN,0.01105,NaN
12.0,0.36188,0.16781,0.07588,694.96979,0.00139,0.375,0.3,0.0,0.001,0.1,0.00139,0.0,0.6,0.2,1.0,5000.0,0.08,0.0,0.97293,0.97293,1.0,NaN,0.00664,NaN
13.0,0.334,0.09247,0.08292,1442.10876,0.00028,0.331,0.3,0.0,0.001,0.1,0.00028,0.0,0.6,0.2,1.0,5000.0,0.08,0.0,0.95207,0.95207,1.0,NaN,0.00824,NaN
