Id,ξ1,ξ2,∑Psd_2_ξ2_β1,∑Psd_2_ξ2_β2,∑Psd_2_ξ2_Size,Subclay,Psd_2_θr_α1,Psd_2_θr_α2,θr_Psd,Err_θr_Psd,Nse
1.0,1.46334,0.04357,0.01195,3.69702,2.0,0.77,0.29862,0.001,0.05157,-3.0788278633342e8,0.97138
7.0,1.46334,0.04357,0.01195,3.69702,2.0,0.77,0.29862,0.001,0.05157,-2.738560943744e7,0.96524
13.0,1.46334,0.02597,0.01195,3.69702,2.0,0.77,0.29862,0.001,0.05155,0.44677,0.8774
19.0,1.46334,0.02901,0.01195,3.69702,2.0,0.77,0.29862,0.001,0.05156,0.66864,0.82592
25.0,1.46334,0.1098,0.01195,3.69702,2.0,0.77,0.29862,0.001,0.05159,0.29802,0.2625
31.0,1.46334,0.10581,0.01195,3.69702,2.0,0.77,0.29862,0.001,0.05159,-1.25885654509e6,0.83593
37.0,1.46334,0.03364,0.01195,3.69702,2.0,0.77,0.29862,0.001,0.05156,0.39231,0.92092
43.0,1.46334,0.04199,0.01195,3.69702,2.0,0.77,0.29862,0.001,0.05157,0.71471,0.91048
49.0,1.46334,0.07586,0.01195,3.69702,2.0,0.77,0.29862,0.001,0.05158,0.25791,0.92298
61.0,1.46334,0.06077,0.01195,3.69702,2.0,0.77,0.29862,0.001,0.05158,-10.69412,0.31857
67.0,1.46334,0.09471,0.01195,3.69702,2.0,0.77,0.29862,0.001,0.05158,-2.703301797418e7,0.81664
72.0,1.46334,0.03622,0.01195,3.69702,2.0,0.77,0.29862,0.001,0.05156,-1.3658675352401e8,0.94892
78.0,1.46334,0.03622,0.01195,3.69702,2.0,0.77,0.29862,0.001,0.05156,-6.44214723851e6,0.87851
84.0,1.46334,0.03364,0.01195,3.69702,2.0,0.77,0.29862,0.001,0.05156,0.37687,0.9032
90.0,1.46334,0.03622,0.01195,3.69702,2.0,0.77,0.29862,0.001,0.05156,0.56787,0.56662
96.0,1.46334,0.04521,0.01195,3.69702,2.0,0.77,0.29862,0.001,0.05156,-5.69397617751e6,0.64358
102.0,1.46334,0.04357,0.01195,3.69702,2.0,0.77,0.29862,0.001,0.05157,-2.6902875537523e8,0.73168
108.0,1.46334,0.039,0.01195,3.69702,2.0,0.77,0.29862,0.001,0.05156,0.62806,0.94596
114.0,1.46334,0.03758,0.01195,3.69702,2.0,0.77,0.29862,0.001,0.05156,-4.63964176662e7,0.42155
120.0,1.46334,0.05052,0.01195,3.69702,2.0,0.77,0.29862,0.001,0.05158,-2.3770644513794e9,0.89176
126.0,1.46326,0.0469,0.01194,3.69683,2.0,0.77,0.29862,0.001,0.05157,-2.0966595036468e8,0.53401
