Id,θs,θr,Ks,Ψm,σ,θsMacMat_ƞ,σMac,ΨmMac,So,θsMacMat,Φ,θs_Min,θr_Min,Ks_Min,Ψm_Min,σ_Min,θsMacMat_ƞ_Min,σMac_Min,ΨmMac_Min,So_Min,θsMacMat_Min,Φ_Min,θs_Max,θr_Max,Ks_Max,Ψm_Max,σ_Max,θsMacMat_ƞ_Max,σMac_Max,ΨmMac_Max,So_Max,θsMacMat_Max,Φ_Max,Kunsat_θΨ
1.0,0.4483630605,0.1191242612,0.000393822,21966.8565342307,1.7973732964,1.0,1.7973897525,0.9999999981,0.0,0.4483630605,0.4646249332,0.3,0.0,5.5e-5,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,324.2421488443
7.0,0.5996376438,0.1191242612,0.0006797733,22744.1866621882,1.8089648915,1.0,1.8089634592,1.0,0.0,0.5996376438,0.6213861594,0.3,0.0,5.5e-5,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,160.5436809941
13.0,0.4233515182,0.0659716069,0.0039002426,1.4769096828051303e6,3.3947095054,1.0,3.38804335,0.499156942,0.0,0.4233515182,0.4387062365,0.3,0.0,5.5e-5,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,304.1799152501
19.0,0.4170756675,0.0795846124,0.0005880409,23271.6197801037,1.8166065587,1.0,1.8166100815,1.0,0.0,0.4170756675,0.4322027643,0.3,0.0,5.5e-5,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,272.2866080407
25.0,0.4656790498,0.1819670228,0.007045589,21999.8722496724,1.7978762275,1.0,1.8118127374,0.9995664915,0.0,0.4656790498,0.4825689636,0.3,0.0,5.5e-5,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,226.6035435312
31.0,0.5098998673,0.1819670228,0.0024555,86954.5867368016,2.3146806191,1.0,2.3104954395,0.8215065852,0.0,0.5098998673,0.5283936448,0.3,0.0,5.5e-5,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,369.5259868965
37.0,0.4010453685,0.0931882668,0.0062535625,558320.8822063999,3.0664100777,1.0,3.0645959768,0.5148315213,0.0,0.4010453685,0.4155910555,0.3,0.0,5.5e-5,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,265.3909982005
43.0,0.4661991006,0.1128825972,0.0016458218,21122.1389758419,1.7843022747,1.0,1.784302442,1.0,0.0,0.4661991006,0.4831078763,0.3,0.0,5.5e-5,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,292.6382594397
49.0,0.6461113439,0.1641490881,0.0059569773,21966.9450976505,1.7973746403,1.0,1.7973656074,1.0,0.0,0.6461113439,0.6695454341,0.3,0.0,5.5e-5,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.0052321134
61.0,0.5548621299,0.1468521437,0.0039893071,22300.5350162005,1.8023985876,1.0,1.8023988171,1.0,0.0,0.5548621299,0.5749866632,0.3,0.0,5.5e-5,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.08,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,249.7514752525
