Id,SoilName,Depth,θs,θr,Ks,Ψm,σ,θsMacMat_ƞ,σMac,ΨmMac,So,θsMacMat,Φ,θs_Min,θr_Min,Ks_Min,Ψm_Min,σ_Min,θsMacMat_ƞ_Min,σMac_Min,ΨmMac_Min,So_Min,θsMacMat_Min,Φ_Min,θs_Max,θr_Max,Ks_Max,Ψm_Max,σ_Max,θsMacMat_ƞ_Max,σMac_Max,ΨmMac_Max,So_Max,θsMacMat_Max,Φ_Max,Nse,Nse_θΨ,Nse_KΨ,Rmse,Rmse_θΨ,Rmse_KΨ,KunsatModel
11133025000031011,Acto_3a.1,250.0,0.498,0.09565815838714058,0.21516531764476277,30444.600310437083,2.6736929441586983,0.8617767798156781,0.7675,10.0,0.0,0.42916483634820773,0.5242105263157895,0.3,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.16252691630582755,0.21516572561248798,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.999279320006834,0.9985586400175485,0.9999999999961195,0.0019458458500800156,0.003891565468693467,1.262314665641715e-7,0.21516637001814407
11133025000031012,Acto_3a.1,375.0,0.451,0.03518306336690143,0.012051741300669657,85638.94767466493,3.0184367828587315,0.9156900183157678,0.7675,10.0,0.0,0.41297619826041126,0.4747368421052632,0.3,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.1666883217102293,0.01205175021540255,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9993845187524095,0.998769037509389,0.9999999999954301,0.0015794307030036574,0.0031588530703831573,8.335624157588794e-9,0.012051713031068877
11133025000031013,Acto_3a.1,675.0,0.39808,2.390355074128202e-9,0.012497307640504536,134959.98055252183,2.8468279215650694,0.9800947907987989,0.7675,10.0,0.0,0.39015613432118584,0.4190315789473684,0.276,0.0,9.200000000000001e-9,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.552,0.1566340762589517,0.012497316897677545,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9994931674965307,0.9989863349938086,0.9999999999992527,0.001321011120138096,0.0026420186571350862,3.5831411058638524e-9,0.012497334764611952
11133025000031014,Acto_3a.1,1000.0,0.23904999999999998,0.0899999999985488,0.0011733560141377994,10958.418714122303,2.3330927262604364,0.8744904068419841,0.7675,10.0,0.0,0.2090469317555763,0.25163157894736843,0.13499999999999998,0.0,4.5e-9,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.26999999999999996,0.09,0.0011733562412914364,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9884921470668624,0.9769842941338515,0.9999999999998733,0.0032608466687649817,0.006521693197973009,1.3955695461149024e-10,0.001173355872094396
11133025000041011,Acto_4a.1,250.0,0.498,0.09567009122054367,0.2151574566421882,30439.474138849968,2.6736368141021662,0.8617808377781145,0.7675,10.0,0.0,0.42916685721350106,0.5242105263157895,0.3,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.16252814215012598,0.21515751163414293,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.999279319242849,0.998558638503582,0.9999999999821161,0.0019459182669699041,0.0038915655491271596,2.709848126486362e-7,0.21515935685925214
11133025000041012,Acto_4a.1,375.0,0.451,0.03519036220983437,0.012051286069623208,85630.2442523154,3.0184029019117826,0.9156924258532004,0.7675,10.0,0.0,0.4129772840597934,0.4747368421052632,0.3,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.16668779928045063,0.012051294481353126,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9993845215580967,0.9987690431203231,0.9999999999958703,0.001579430497619735,0.003158853071505505,7.923733965041724e-9,0.01205136682940139
11133025000041013,Acto_4a.1,1000.0,0.416875,8.439366852419955e-10,0.013920518937018615,138995.88299111134,2.6301959359294886,0.9866645346794664,0.7675,10.0,0.0,0.4113157778945025,0.4388157894736842,0.2925,0.0,9.75e-9,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.585,0.16433761076381548,0.013920534154965213,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9994899846125288,0.9989799692335132,0.9999999999915444,0.001413124325724742,0.0028262344702517078,1.4181197776301856e-8,0.01392057658199092
11183128190051011,Ahuri_5a.1,200.0,0.569,1.7807944560594002e-10,0.29943111915799214,262028.22034753134,3.3912074597809774,0.8419584533385126,0.7675,10.0,0.0,0.4790743599496136,0.5989473684210526,0.3,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,0.299431289468284,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9995339144340972,0.9990678288689437,0.9999999999992506,0.001467361891555154,0.0029346498088518454,7.397425846266891e-8,0.29943009212803634
11183128190051012,Ahuri_5a.1,325.0,0.547,0.12813094907912276,0.29043900864754746,73395.9779698649,2.967012586226813,0.8310206032275333,0.7675,10.0,0.0,0.4545682699654608,0.5757894736842106,0.3,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.2,1.0,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9993193633536581,0.998638726733235,0.9999999999740813,0.0016620930800099105,0.0033237634515237424,4.2270849607857755e-7,0.29043376136633414
11183128190051013,Ahuri_5a.1,1000.0,0.447,0.04810790380438375,0.012694005625120495,2542.4891898945148,1.846104594314341,0.8944654521946513,0.7675,10.0,0.0,0.39982605713100916,0.47052631578947374,0.3,0.0,1.0e-8,100.0,0.75,0.75,0.2,1.0,0.0,0.0,0.0,0.6,0.04810790380998919,0.01269400562888217,1.0e14,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.9893303547560105,0.9786643252784402,0.999996384233581,0.009698127658666005,0.019387620685147103,8.634632184904952e-6,0.01289448649959838
