Id,SoilName,Depth,IsTopsoil,ThetaS_Bc[mm3 mm-3],ThetaR_Bc[mm3 mm-3],LambdaBc_Bc[-],Hbc_Bc[mm],Ks_Bc[mm s-1],Hga_Bc[mm],ThetaS_Ch[mm3 mm-3],ThetaR_Ch[mm3 mm-3],LambdaCh_Ch[-],Hch_Ch[mm],Ks_Ch[mm s-1], Hga_Ch[mm],ThetaS_Vg[mm3 mm-3],ThetaR_Vg[mm3 mm-3],n_Vg[-],Hvg_Vg[mm],Ks_Vg[mm s-1],ThetaS_VgJules[mm3 mm-3],ThetaR_VgJules[mm3 mm-3],n_VgJules[-],Hvg_VgJules[mm],Ks_VgJules[mm s-1],ThetaS_Kg[mm3 mm-3],ThetaR_Kg[mm3 mm-3],Ks_Kg[mm s-1],Hm_Kg[mm],Sigma_Kg,SigmaMac_Kg,HmMac_Kg[mm],ThetaSMacMat_Kg[mm3 mm-3],0mm,500mm,1000mm,2000mm,3300mm,4000mm,10000mm,150000mm
11133025000031011,Acto_3a.1,250.0,1,0.4864382478786081,1.875070048983071e-11,0.1078191575936854,90.00000002643152,0.10915406200448224,158.0036963124251,0.48643704531642734,0.0,0.10781814467603246,89.99999999999997,0.10915385062727362,158.003852407728,0.4587067709665875,0.01468041843252808,1.176020284475538,794.1132994704784,0.21516572498752906,0.4828171462943399,1.2461098341333791e-9,1.1077377308656446,97.89797253807535,0.1397649642723625,0.498,0.09565815838714058,0.21516531764476277,30444.600310437083,2.6736929441586983,0.7675,10.0,0.42916483634820773,0.498,0.40843248481503563,0.3955825139451104,0.37771995006889064,0.36147287197087735,0.35449473676777454,0.3162535329433466,0.18751878175672027
11133025000031012,Acto_3a.1,375.0,1,0.44334236074479555,5.906074931695536e-11,0.1129036061994462,253.64016781166086,0.004983912286490078,443.1061557516313,0.4433420888080853,0.0,0.11290310866638098,253.6430866351319,0.004983947772304045,443.1114661474849,0.4318007191623836,7.374121739188795e-11,1.146725005984124,912.543121121108,0.011971656732100934,0.4509999999731176,8.070416435355294e-10,1.0923916667333822,97.96794122908955,0.007335887833223557,0.451,0.03518306336690143,0.012051741300669657,85638.94767466493,3.0184367828587315,0.7675,10.0,0.41297619826041126,0.451,0.396279552790192,0.3864557284535604,0.3726940610442773,0.35995515948820456,0.35440211166735147,0.32291269153211327,0.19625288706873276
11133025000031013,Acto_3a.1,675.0,0,0.398079999999975,1.3908294383818683e-13,0.09726389612109917,286.8847551523691,0.006525578589495268,508.96758610466657,0.39808,0.0,0.09726393944048788,286.8849747075082,0.006525574383463741,508.9679532793052,0.3941550085091861,1.1260325861584916e-9,1.1822583202676895,2783.1768508686127,0.012497316780670994,0.39807999546934963,4.826548107625896e-9,1.0735449897929827,99.97652807606818,0.009143545602116736,0.39808,2.390355074128202e-9,0.012497307640504536,134959.98055252183,2.8468279215650694,0.7675,10.0,0.39015613432118584,0.39808,0.38054894086171803,0.3735948630398197,0.3630380248752674,0.3526273837003849,0.3479299856323628,0.3198024833804383,0.1893030844871243
11133025000031014,Acto_3a.1,1000.0,0,0.23109276785626737,1.1388496803211797e-11,0.09442134313453711,90.00000000198494,0.0006767952417526614,160.133657565668,0.23109295800649357,0.0,0.09442148865744716,90.00000000000773,0.000676796202553135,160.1336337025617,0.22595009399283658,0.07697390942813329,1.2599173115888558,484.8207427098796,0.0011733562407654772,0.22931506822827702,7.130648281415404e-7,1.0944162733763023,99.5527103248426,0.0008411500006743576,0.23904999999999998,0.0899999999985488,0.0011733560141377994,10958.418714122303,2.3330927262604364,0.7675,10.0,0.2090469317555763,0.23904999999999998,0.19799024390757772,0.1909029987526369,0.18131102200417523,0.17291858793294085,0.16941816003941387,0.151386031274715,0.10559999704714416
11133025000041011,Acto_4a.1,250.0,1,0.48643723966104246,2.059156171640291e-11,0.10781812163351527,90.00000000006844,0.10915483356175798,158.00385595987083,0.4864367176822902,0.0,0.10781784585240715,90.0000000000015,0.10915477324886584,158.00389847166224,0.4587087491115467,0.014704662449329152,1.1760319506910937,794.0365570153613,0.21515750854218843,0.48281616054537746,4.091114109196883e-10,1.1077373247675906,97.89851241604079,0.1397663146831637,0.498,0.09567009122054367,0.2151574566421882,30439.474138849968,2.6736368141021662,0.7675,10.0,0.42916685721350106,0.498,0.40843405162171037,0.39558345566673264,0.37772007414643094,0.3614723323026053,0.35449393922906475,0.316251650946441,0.1875186623148291
11133025000041012,Acto_4a.1,375.0,1,0.4509999999863729,2.1912821366781614e-10,0.09104580447234834,90.00000002717874,0.005743750099057967,160.6915051849941,0.4433419496965649,0.0,0.11290349456956167,253.6446540978456,0.004984158695372498,443.1140406340318,0.43180026409938577,3.41688983519788e-13,1.1467283293143566,912.6084421139697,0.011971177842034747,0.45099999765402865,1.3343275832762174e-10,1.0923924273880368,97.9714630232957,0.007335618476300046,0.451,0.03519036220983437,0.012051286069623208,85630.2442523154,3.0184029019117826,0.7675,10.0,0.4129772840597934,0.451,0.39628043067812013,0.3864563549086256,0.3726943382412916,0.3599551305994607,0.3544019564273336,0.32291191871121266,0.1962518755991936
11133025000041013,Acto_4a.1,1000.0,0,0.4168749999999406,2.0213422778538733e-11,0.09352957034288832,299.22963484236726,0.00907022007553273,532.8953170909665,0.41687499999999994,0.0,0.09352956409711032,299.2297428345286,0.009070218201742669,532.8955128321716,0.4150903445507139,0.035499651915660714,1.238383366983257,4278.316608171097,0.013920534090273667,0.416874999976712,2.9753038858502892e-9,1.1082325998165476,497.1876402017157,0.009219913329892807,0.416875,8.439366852419955e-10,0.013920518937018615,138995.88299111134,2.6301959359294886,0.7675,10.0,0.4113157778945025,0.416875,0.4046548125662799,0.39884322323765475,0.38934199895753296,0.3794417681314901,0.3748451109802695,0.34612111343174184,0.2009055530830291
11183128190051011,Ahuri_5a.1,200.0,1,0.5447406976758676,0.012675991891738838,0.08771929803241799,90.00000000549942,0.11879741386331763,161.25000004592988,0.5479880001926768,0.0,0.08771929800000311,90.00000000000304,0.11879804466463632,161.25000004156743,0.5277241956579887,2.5188078126139674e-10,1.10796211134667,385.82865800674824,0.29926109217200997,0.5689651273872754,3.164997862740144e-9,1.0768621966762768,32.71559971620013,0.15773085071044327,0.569,1.7807944560594002e-10,0.29943111915799214,262028.22034753134,3.3912074597809774,0.7675,10.0,0.4790743599496136,0.569,0.46354458944477483,0.45498030170281745,0.4430144471607658,0.4318700266602835,0.42697770924069817,0.3987028941777737,0.2708339008596513
11183128190051012,Ahuri_5a.1,325.0,0,0.5169718493214163,0.014680826662677046,0.08771929815535165,90.00000000446866,0.12898247804025764,161.25000002328042,0.5207325976603571,0.0,0.08771929800000114,89.99999999999997,0.12898237746317084,161.25000004156226,0.5005777020453122,0.0798431311678222,1.1424019834045702,451.8756374094364,0.29043884336935794,0.546963447134383,7.064022789770932e-10,1.0752175662715482,24.806247273264358,0.1690892902222329,0.547,0.12813094907912276,0.29043900864754746,73395.9779698649,2.967012586226813,0.7675,10.0,0.4545682699654608,0.547,0.4394417010624901,0.43046718980699594,0.41789982115038865,0.4062863248695929,0.4012318483832245,0.37267991307643766,0.26027800991013716
11183128190051013,Ahuri_5a.1,1000.0,0,0.42224445787677023,9.502533291819828e-12,0.28703609862467017,231.4901563535699,0.007742619324000487,355.8731150813197,0.4421051820340538,0.0,0.22482017582227432,90.00000000000054,0.008855569277512769,143.74865428219815,0.42966992980382285,0.034351547634065706,1.4243971466265823,397.69997040605205,0.012694005627607835,0.435515743866886,6.09614735023881e-12,1.2224221494611152,97.0729047011998,0.010556548710569357,0.447,0.04810790380438375,0.012694005625120495,2542.4891898945148,1.846104594314341,0.7675,10.0,0.39982605713100916,0.447,0.3329932082274321,0.2915538956212547,0.2417301461003697,0.20393145480042274,0.1896801242879925,0.12919032723943116,0.05547108041665259
